PRICE,TYPE,LOC,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS,POINT,CENTROID,CENTROID W,PRED,CAT
1180000.0,APPART A VENDR,75015,88.0,0.0,0,0,3,4,0,7,"(88.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 7.0)","(85.6, 0.0, 0.0, 0.2, 2.4, 3.8, 1.8, 5.6)",89.0,1736142.857142857,"('APPART A VENDR', '75015')"
410000.0,DUPLEX A VENDR,75011,34.0,0.0,0,0,1,2,1,2,,,,,"('DUPLEX A VENDR', '75011')"
2995000.0,APPART A VENDR,75011,229.9,0.0,0,0,4,5,2,6,"(229.9, 0.0, 0.0, 0.0, 4.0, 5.0, 2.0, 6.0)","(229.9, 0.0, 0.0, 0.0, 4.0, 5.0, 2.0, 6.0)",49.0,2995000.0,"('APPART A VENDR', '75011')"
850000.0,APPART A VENDR,75007,51.3,0.0,0,0,2,3,5,5,"(51.3, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 5.0)","(50.8, 0.0, 0.0, 0.0, 1.3333333333333333, 2.6666666666666665, 3.7777777777777777, 4.666666666666667)",87.0,819750.0,"('APPART A VENDR', '75007')"
212500.0,APPART A VENDR,75018,16.0,0.0,0,0,1,1,6,6,"(16.0, 0.0, 0.0, 0.0, 1.0, 1.0, 6.0, 6.0)","(21.0, 0.0, 0.0, 0.1111111111111111, 1.0, 1.0, 3.2222222222222223, 4.666666666666667)",119.0,232144.44444444444,"('APPART A VENDR', '75018')"
240000.0,APPART A VENDR,75019,28.0,0.0,0,0,1,1,3,3,,,,,"('APPART A VENDR', '75019')"
1155000.0,APPART A VENDR,75014,109.8,0.0,0,0,3,5,1,7,"(109.8, 0.0, 0.0, 0.0, 3.0, 5.0, 1.0, 7.0)","(100.13333333333333, 0.0, 0.0, 0.0, 3.0, 4.666666666666667, 2.6666666666666665, 6.0)",46.0,1055000.0,"('APPART A VENDR', '75014')"
640000.0,DUPLEX A VENDR,75018,111.0,0.0,0,0,2,3,1,1,,,,,"('DUPLEX A VENDR', '75018')"
900000.0,APPART A VENDR,75006,45.0,0.0,0,0,1,2,2,6,"(45.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 6.0)","(43.2, 0.0, 0.0, 0.0, 1.2, 2.2, 3.4, 5.2)",60.0,792800.0,"('APPART A VENDR', '75006')"
970000.0,DUPLEX A VENDR,75014,80.9,0.0,0,0,2,3,1,1,,,,,"('DUPLEX A VENDR', '75014')"
865000.0,APPART A VENDR,75017,76.1,0.0,0,0,2,3,2,7,"(76.1, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 7.0)","(75.0, 0.0, 0.0, 0.0, 1.5714285714285714, 3.2857142857142856, 1.2857142857142858, 5.571428571428571)",113.0,888428.5714285715,"('APPART A VENDR', '75017')"
181000.0,APPART A VENDR,93000,46.0,0.0,0,0,1,2,8,8,,,,,"('APPART A VENDR', '93000')"
329000.0,APPART A VENDR,75019,38.0,0.0,0,0,1,2,0,2,,,,,"('APPART A VENDR', '75019')"
327000.0,APPART A VENDR,75018,34.0,0.0,0,0,1,2,3,6,"(34.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0)","(35.06363636363636, 0.0, 0.0, 0.09090909090909091, 1.0, 1.8181818181818181, 4.2727272727272725, 5.2727272727272725)",119.0,323136.36363636365,"('APPART A VENDR', '75018')"
995000.0,APPART A VENDR,75005,68.8,0.0,0,0,2,3,4,6,,,,,"('APPART A VENDR', '75005')"
1100000.0,APPART A VENDR,75007,60.2,0.0,0,0,2,3,2,6,"(60.2, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 6.0)","(59.4, 0.0, 0.0, 0.0, 1.25, 2.625, 1.875, 5.5)",87.0,1149666.6666666667,"('APPART A VENDR', '75007')"
995000.0,APPART A VENDR,75017,96.0,0.0,0,0,2,3,4,8,"(96.0, 0.0, 0.0, 0.0, 2.0, 3.0, 4.0, 8.0)","(96.4625, 0.0, 0.0, 0.0, 2.25, 3.75, 3.375, 5.25)",113.0,1138500.0,"('APPART A VENDR', '75017')"
1095000.0,APPART A VENDR,75017,98.3,0.0,0,0,2,4,2,7,"(98.3, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 7.0)","(96.4625, 0.0, 0.0, 0.0, 2.25, 3.75, 3.375, 5.25)",113.0,1138500.0,"('APPART A VENDR', '75017')"
285000.0,APPART A VENDR,75013,26.0,0.0,0,0,1,1,1,5,,,,,"('APPART A VENDR', '75013')"
665000.0,APPART A VENDR,75009,66.0,0.0,0,0,1,2,1,6,,,,,"('APPART A VENDR', '75009')"
480000.0,APPART A VENDR,75002,35.0,0.0,0,0,1,1,2,6,,,,,"('APPART A VENDR', '75002')"
720000.0,APPART A VENDR,75014,72.6,0.0,0,0,2,3,14,17,"(72.6, 0.0, 0.0, 0.0, 2.0, 3.0, 14.0, 17.0)","(70.3, 0.0, 0.0, 0.0, 1.5, 3.25, 5.0, 9.0)",46.0,679500.0,"('APPART A VENDR', '75014')"
5400000.0,MAISON A VENDR,75018,260.3,13.1,0,0,4,9,0,0,,,,,"('MAISON A VENDR', '75018')"
580000.0,APPART A VENDR,75010,58.0,0.0,0,0,1,2,4,5,,,,,"('APPART A VENDR', '75010')"
294000.0,APPART A VENDR,75016,27.4,0.0,0,0,1,2,5,5,"(27.4, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 5.0)","(29.619999999999997, 0.0, 0.1, 0.1, 1.0, 1.5, 2.2, 5.1)",246.0,365600.0,"('APPART A VENDR', '75016')"
895000.0,APPART A VENDR,75011,90.8,0.0,0,0,4,5,1,1,"(90.8, 0.0, 0.0, 0.0, 4.0, 5.0, 1.0, 1.0)","(86.3, 0.0, 0.0, 0.2, 2.6, 4.2, 1.4, 3.4)",49.0,993000.0,"('APPART A VENDR', '75011')"
625000.0,APPART A VENDR,75015,61.0,0.0,0,0,1,3,2,6,"(61.0, 0.0, 0.0, 0.0, 1.0, 3.0, 2.0, 6.0)","(63.15, 0.0, 0.0, 0.0, 1.6428571428571428, 3.0, 2.4285714285714284, 6.0)",89.0,627800.0,"('APPART A VENDR', '75015')"
1250000.0,APPART A VENDR,75017,122.1,0.0,0,0,3,5,2,8,"(122.1, 0.0, 0.0, 0.0, 3.0, 5.0, 2.0, 8.0)","(123.14999999999999, 0.0, 0.0, 0.0, 2.6666666666666665, 4.666666666666667, 1.8333333333333333, 5.166666666666667)",113.0,1484714.2857142857,"('APPART A VENDR', '75017')"
262000.0,APPART A VENDR,93000,61.2,0.0,0,1,2,3,2,2,,,,,"('APPART A VENDR', '93000')"
1490000.0,APPART A VENDR,75016,119.8,0.0,0,0,3,5,5,8,"(119.8, 0.0, 0.0, 0.0, 3.0, 5.0, 5.0, 8.0)","(120.045, 0.0, 0.0, 0.05, 2.4, 4.55, 4.05, 6.85)",246.0,1703850.0,"('APPART A VENDR', '75016')"
750000.0,APPART A VENDR,75012,70.0,0.0,0,0,1,3,3,4,"(70.0, 0.0, 0.0, 0.0, 1.0, 3.0, 3.0, 4.0)","(74.2, 0.0, 0.0, 0.16666666666666666, 1.8333333333333333, 3.6666666666666665, 3.8333333333333335, 6.166666666666667)",37.0,785166.6666666666,"('APPART A VENDR', '75012')"
670000.0,APPART A VENDR,75017,70.0,0.0,0,0,2,3,4,5,"(70.0, 0.0, 0.0, 0.0, 2.0, 3.0, 4.0, 5.0)","(67.53076923076922, 0.0, 0.0, 0.0, 1.7692307692307692, 3.076923076923077, 3.1538461538461537, 4.923076923076923)",113.0,765642.8571428572,"('APPART A VENDR', '75017')"
450000.0,APPART A VENDR,75018,56.0,0.0,0,1,1,2,1,4,"(56.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 4.0)","(53.1, 0.0, 0.0, 0.5, 1.625, 2.5, 1.875, 4.0)",119.0,537062.5,"('APPART A VENDR', '75018')"
765000.0,APPART A VENDR,75015,78.1,0.0,0,0,1,4,1,4,"(78.1, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 4.0)","(75.21111111111111, 0.0, 0.0, 0.1111111111111111, 1.8888888888888888, 3.6666666666666665, 1.4444444444444444, 4.666666666666667)",89.0,756111.1111111111,"('APPART A VENDR', '75015')"
720000.0,APPART A VENDR,75018,61.4,0.0,0,0,2,3,1,11,"(61.4, 0.0, 0.0, 0.0, 2.0, 3.0, 1.0, 11.0)","(59.14, 0.0, 0.0, 0.0, 1.8, 3.0, 2.3, 7.3)",119.0,508700.0,"('APPART A VENDR', '75018')"
439000.0,APPART A VENDR,75001,26.0,0.0,0,0,1,1,2,3,,,,,"('APPART A VENDR', '75001')"
545000.0,APPART A VENDR,75018,50.0,0.0,0,1,2,3,1,9,"(50.0, 0.0, 0.0, 1.0, 2.0, 3.0, 1.0, 9.0)","(49.44, 0.0, 0.0, 0.2, 1.4, 2.6, 4.8, 7.8)",119.0,595000.0,"('APPART A VENDR', '75018')"
