RAW,DATA TAG,PRICE,PRICE_UNIT,CLEANED TAG,TYPE,LOC,ALL AREA,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS
"Appartement à vendre - Paris 17ème - 2 550 000 € - 9 pièces, 4 chambres, 271 m², Étage 1/6","['APPART A VENDR', 'PARIS 17EM', '9 PIEC', '4 CHAMBR', '271 M²', 'ETAG 1/6']",2550000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75017,['271 M²'],271.0,0.0,0,0,4,9,1,6
"Appartement à vendre - Paris 16ème - 950 000 € - 3 pièces, 2 chambres, 98 m²","['APPART A VENDR', 'PARIS 16EM', '3 PIEC', '2 CHAMBR', '98 M²']",950000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²')",APPART A VENDR,75016,['98 M²'],98.0,0.0,0,0,2,3,0,0
"Appartement à vendre - Paris 16ème - 272 000 € - 1 pièce, 21 m², 1er étage","['APPART A VENDR', 'PARIS 16EM', '1 PIEC', '21 M²', '1ER ETAG']",272000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'M²', 'ETAG')",APPART A VENDR,75016,['21 M²'],21.0,0.0,0,0,0,1,1,1
"Appartement à vendre - Paris 12ème - 1 150 000 € - 4 pièces, 3 chambres, 128 m², Étage 1/5","['APPART A VENDR', 'PARIS 12EM', '4 PIEC', '3 CHAMBR', '128 M²', 'ETAG 1/5']",1150000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75012,['128 M²'],128.0,0.0,0,0,3,4,1,5
"Appartement à vendre - Boulogne-Billancourt - 755 000 € - 6 pièces, 4 chambres, 108 m², Étage 2/3","['APPART A VENDR', 'BOULOGN BILLANCOURT', '6 PIEC', '4 CHAMBR', '108 M²', 'ETAG 2/3']",755000.0,EUR,"('APPART A VENDR', 'BOULOGN BILLANCOURT', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,92000,['108 M²'],108.0,0.0,0,0,4,6,2,3
"Appartement à vendre - Neuf - Paris 19ème - 720 000 € - 3 pièces, 2 chambres, 81 m², RDC","['APPART A VENDR', 'NEUF', 'PARIS 19EM', '3 PIEC', '2 CHAMBR', '81 M²', 'RDC']",720000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75019,['81 M²'],81.0,0.0,0,1,2,3,0,0
"Appartement à vendre - Paris 4ème - 1 199 000 € - 3 pièces, 2 chambres, 75 m², Étage 4/6","['APPART A VENDR', 'PARIS 4EM', '3 PIEC', '2 CHAMBR', '75 M²', 'ETAG 4/6']",1199000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75004,['75 M²'],75.0,0.0,0,0,2,3,4,6
"Appartement à vendre - Neuf - Paris 12ème - 465 000 € - 2 pièces, 1 chambre, 49,2 m², Étage 3/6","['APPART A VENDR', 'NEUF', 'PARIS 12EM', '2 PIEC', '1 CHAMBR', '49.2 M²', 'ETAG 3/6']",465000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75012,['49.2 M²'],49.2,0.0,0,1,1,2,3,6
"Appartement à vendre - Paris 8ème - 8 900 000 € - 7 pièces, 4 chambres, 194 m², Étage 5/6","['APPART A VENDR', 'PARIS 8EM', '7 PIEC', '4 CHAMBR', '194 M²', 'ETAG 5/6']",8900000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75008,['194 M²'],194.0,0.0,0,0,4,7,5,6
"Appartement à vendre - Paris 6ème - 899 000 € - 2 pièces, 1 chambre, 55 m², 7 étages","['APPART A VENDR', 'PARIS 6EM', '2 PIEC', '1 CHAMBR', '55 M²', '7 ETAG']",899000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75006,['55 M²'],55.0,0.0,0,0,1,2,7,7
"Appartement à vendre - Paris 3ème - 412 000 € - 2 pièces, 1 chambre, 29,7 m², Étage 4/5","['APPART A VENDR', 'PARIS 3EM', '2 PIEC', '1 CHAMBR', '29.7 M²', 'ETAG 4/5']",412000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75003,['29.7 M²'],29.7,0.0,0,0,1,2,4,5
"Appartement à vendre - Paris 8ème - 499 000 € - 1 pièce, 34 m², Étage 2/6","['APPART A VENDR', 'PARIS 8EM', '1 PIEC', '34 M²', 'ETAG 2/6']",499000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'M²', 'ETAG')",APPART A VENDR,75008,['34 M²'],34.0,0.0,0,0,0,1,2,6
"Appartement à vendre - Paris 18ème - 400 000 € - 1 pièce, 37 m², RDC/4","['APPART A VENDR', 'PARIS 18EM', '1 PIEC', '37 M²', 'RDC/4']",400000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'M²', 'RDC')",APPART A VENDR,75018,['37 M²'],37.0,0.0,0,0,0,1,0,4
"Appartement à vendre - Neuf - Paris 20ème - 1 040 000 € - 4 pièces, 85,6 m², 1er étage","['APPART A VENDR', 'NEUF', 'PARIS 20EM', '4 PIEC', '85.6 M²', '1ER ETAG']",1040000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'M²', 'ETAG')",APPART A VENDR,75020,['85.6 M²'],85.6,0.0,0,1,2,4,1,1
"Maison à vendre - Paris 16ème - 7 400 000 € - 12 pièces, 9 chambres, 375 m²","['MAISON A VENDR', 'PARIS 16EM', '12 PIEC', '9 CHAMBR', '375 M²']",7400000.0,EUR,"('MAISON A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²')",MAISON A VENDR,75016,['375 M²'],375.0,0.0,0,0,9,12,0,0
"Appartement à vendre - Paris 4ème - 1 900 000 € - 6 pièces, 4 chambres, 149,1 m², Étage 3/6","['APPART A VENDR', 'PARIS 4EM', '6 PIEC', '4 CHAMBR', '149.1 M²', 'ETAG 3/6']",1900000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75004,['149.1 M²'],149.1,0.0,0,0,4,6,3,6
"Appartement à vendre - Paris 16ème - 2 010 000 € - 6 pièces, 4 chambres, 166,9 m², 3ème étage","['APPART A VENDR', 'PARIS 16EM', '6 PIEC', '4 CHAMBR', '166.9 M²', '3EM ETAG']",2010000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75016,['166.9 M²'],166.9,0.0,0,0,4,6,3,3
